1,START,START
1,Bonting,N
1,",",D
1,Ww,O
1,.,O
1,END,END
2,START,START
2,E,P
2,.,P
2,Wagner,N
2,",",D
2,Ww,O
2,END,END
3,START,START
3,E,P
3,.,P
3,Hintze,N
3,",",D
3,Parchen,O
3,rauherei⸗Beſitzer,O
3,.,O
3,END,END
4,START,START
4,E,P
4,.,P
4,Raſt,N
4,",",D
4,Maurerpolier,O
4,END,END
5,START,START
5,Hanſen,N
5,",",D
5,Ww,O
5,.,O
5,END,END
6,START,START
6,Lieben,N
6,",",D
6,Ww,O
6,END,END
7,START,START
7,Müſſigbrodt,N
7,",",D
7,Frl,O
7,",",D
7,Han,O
7,erin,O
7,.,O
7,END,END
8,START,START
8,Raſt,N
8,",",D
8,Klempner,O
8,.,O
8,END,END
9,START,START
9,Salinger,N
9,",",D
9,Topfer,O
9,.,O
9,END,END
10,START,START
10,E,P
10,.,P
10,Geſerick,N
10,",",D
10,Kaufmann,O
10,END,END
11,START,START
11,Rupprecht,N
11,",",D
11,Schloſſer,O
11,.,O
11,END,END
12,START,START
12,Schultze,N
12,",",D
12,Ww,O
12,END,END
13,START,START
13,Weaer,N
13,",",D
13,Cigarrenmacher,O
13,.,O
13,END,END
14,START,START
14,E,P
14,.,P
14,Taege,N
14,",",D
14,Klempnermſt,O
14,(Roſenthalerſtr,A
14,.,A
14,13),A
14,END,END
15,START,START
15,Engel,N
15,",",D
15,Weber,O
15,.,O
15,END,END
16,START,START
16,Ortlepp,N
16,",",D
16,Muſicus,O
16,END,END
17,START,START
17,Otto,N
17,",",D
17,Schloſer,O
17,.,O
17,END,END
18,START,START
18,Tornow,N
18,",",D
18,Schloſſer,O
18,.,O
18,END,END
19,START,START
19,Woltersdorff,N
19,",",D
19,Schuhm,O
19,END,END
20,START,START
20,Ohjack,N
20,",",D
20,Ww,O
20,.,O
20,END,END
21,START,START
21,Hannauſch,N
21,",",D
21,Frau,O
21,END,END
22,START,START
22,Hertel,N
22,",",D
22,Strumpfwirker,O
22,.,O
22,END,END
23,START,START
23,Mohr,N
23,",",D
23,Maſchinenbauer,O
23,END,END
24,START,START
24,Metſcher,N
24,",",D
24,Controleur,O
24,.,O
24,END,END
25,START,START
25,Muller,N
25,",",D
25,Maurer,O
25,.,O
25,END,END
26,START,START
26,Scholle,N
26,",",D
26,Tiſchler,O
26,.,O
26,END,END
27,START,START
27,E,P
27,.,P
27,Hecht,N
27,",",D
27,Victualienhdlr,O
27,.,O
27,Ww,O
27,.,D
27,END,END
28,START,START
28,Albrecht,N
28,",",D
28,Cigarrenmacher,O
28,END,END
29,START,START
29,Levnſohn,N
29,",",D
29,Schriftſeter,O
29,.,O
29,END,END
30,START,START
30,E,P
30,.,P
30,Kortmann,N
30,.,D
30,Schuhm,O
30,.,O
30,END,END
31,START,START
31,Lion,N
31,",",D
31,Meſſerſchmied,O
31,.,O
31,END,END
32,START,START
32,Ziegenfuß,N
32,",",D
32,Maurerpol,O
32,.,O
32,END,END
33,START,START
33,E,P
33,.,P
33,Dörre,N
33,",",N
33,J,N
33,.,N
33,",",D
33,Rentier,O
33,END,END
34,START,START
34,Bartſch,N
34,",",D
34,Rentier,O
34,.,O
34,END,END
35,START,START
35,Dörre,N
35,.,N
35,F,N
35,",",D
35,Schlächter,O
35,.,O
35,END,END
36,START,START
36,Wedekind,N
36,",",D
36,Dachdecker,O
36,END,END
37,START,START
37,Wenzel,N
37,",",D
37,Schriftetzer,O
37,.,O
37,END,END
38,START,START
38,E,P
38,.,P
38,Zeidler,N
38,",",D
38,Ww,O
38,.,O
38,(Münz,A
38,ſtraße,A
38,1),A
38,END,END
39,START,START
39,V,P
39,.,P
39,Kruger,N
39,",",D
39,Deſtillateur,O
39,.,O
39,END,END
40,START,START
40,Kinsky,N
40,",",D
